year,brand,count
2012,BMW,0
2012,Cadillac,0
2012,Chevrolet,23461
2012,Fiat,0
2012,Ford,3057
2012,Kia,0
2012,Mercedes,0
2012,Mitsubishi,588
2012,Nissan,9819
2012,Porsche,0
2012,Smart,137
2012,Tesla,2171
2012,Toyota,12941
2012,Volvo,0
2012,VW,0
2013,BMW,0
2013,Cadillac,6
2013,Chevrolet,23654
2013,Fiat,260
2013,Ford,14981
2013,Kia,0
2013,Mercedes,0
2013,Mitsubishi,1029
2013,Nissan,22610
2013,Porsche,51
2013,Smart,923
2013,Tesla,19000
2013,Toyota,13093
2013,Volvo,0
2013,VW,0
2014,BMW,6647
2014,Cadillac,1310
2014,Chevrolet,19950
2014,Fiat,1503
2014,Ford,21947
2014,Kia,250
2014,Mercedes,774
2014,Mitsubishi,196
2014,Nissan,30200
2014,Porsche,991
2014,Smart,2594
2014,Tesla,16750
2014,Toyota,14448
2014,Volvo,0
2014,VW,357
2015,BMW,14161
2015,Cadillac,1024
2015,Chevrolet,18022
2015,Fiat,4569
2015,Ford,18923
2015,Kia,1015
2015,Mercedes,2024
2015,Mitsubishi,115
2015,Nissan,17269
2015,Porsche,1570
2015,Smart,1387
2015,Tesla,26408
2015,Toyota,4209
2015,Volvo,86
2015,VW,4232
2016,BMW,15214
2016,Cadillac,534
2016,Chevrolet,27774
2016,Fiat,3897
2016,Ford,24767
2016,Kia,1728
2016,Mercedes,1182
2016,Mitsubishi,94
2016,Nissan,14006
2016,Porsche,2504
2016,Smart,657
2016,Tesla,47184
2016,Toyota,2474
2016,Volvo,2020
2016,VW,2752
2017,BMW,12113
2017,Cadillac,17
2017,Chevrolet,43646
2017,Fiat,5380
2017,Ford,19589
2017,Kia,2157
2017,Mercedes,1410
2017,Mitsubishi,99
2017,Nissan,11230
2017,Porsche,1592
2017,Smart,544
2017,Tesla,50139
2017,Toyota,20936
2017,Volvo,2196
2017,VW,3534