make,2011,2012,2013,2014,2015,2016,2017
BMW,0,0,0,6647,14161,15214,12113
Cadillac,0,0,6,1310,1024,534,17
Chevrolet,7671,23461,23654,19950,18022,27774,43646
Fiat,0,0,260,1503,4569,3897,5380
Ford,0,3057,14981,21947,18923,24767,19589
Honda,0,93,1095,856,65,0,0
Kia,0,0,0,250,1015,1728,2157
Mercedes,0,0,0,774,2024,1182,1410
Mitsubishi,76,588,1029,196,115,94,99
Nissan,9674,9819,22610,30200,17269,14006,11230
Porsche,0,0,51,991,1570,2504,1592
Smart,310,137,923,2594,1387,657,544
Tesla,0,2171,19000,16750,26408,47184,50139
Toyota,0,12941,13093,14448,4209,2474,20936
Volvo,0,0,0,0,86,2020,2196
VW,0,0,0,357,4232,2752,3534